Ensembl Gene Id,gene_name
ENSG00000051180,RAD51
ENSG00000053108,FSTL4
ENSG00000087495,PHACTR3
ENSG00000092853,CLSPN
ENSG00000095587,TLL2
ENSG00000100625,SIX4
ENSG00000102384,CENPI
ENSG00000108001,EBF3
ENSG00000112280,COL9A1
ENSG00000112655,PTK7
ENSG00000114346,ECT2
ENSG00000116675,DNAJC6
ENSG00000121570,DPPA4
ENSG00000123560,PLP1
ENSG00000125851,PCSK2
ENSG00000128298,BAIAP2L2
ENSG00000128683,GAD1
ENSG00000129159,KCNC1
ENSG00000132938,MTUS2
ENSG00000135423,GLS2
ENSG00000136546,SCN7A
ENSG00000137672,TRPC6
ENSG00000137857,DUOX1
ENSG00000137868,STRA6
ENSG00000138640,FAM13A
ENSG00000140451,PIF1
ENSG00000140873,ADAMTS18
ENSG00000141622,RNF165
ENSG00000142731,PLK4
ENSG00000144057,ST6GAL2
ENSG00000144354,CDCA7
ENSG00000144554,FANCD2
ENSG00000144668,ITGA9
ENSG00000144810,COL8A1
ENSG00000145794,MEGF10
ENSG00000147485,PXDNL
ENSG00000150394,CDH8
ENSG00000152495,CAMK4
ENSG00000153233,PTPRR
ENSG00000158560,DYNC1I1
ENSG00000159450,TCHH
ENSG00000162929,KIAA1841
ENSG00000163421,PROK2
ENSG00000164188,RANBP3L
ENSG00000164532,TBX20
ENSG00000164619,BMPER
ENSG00000165023,DIRAS2
ENSG00000165966,PDZRN4
ENSG00000169679,BUB1
ENSG00000170537,TMC7
ENSG00000171051,FPR1
ENSG00000171433,GLOD5
ENSG00000171502,COL24A1
ENSG00000171509,RXFP1
ENSG00000172020,GAP43
ENSG00000175874,CREG2
ENSG00000179520,SLC17A8
ENSG00000180509,KCNE1
ENSG00000180730,SHISA2
ENSG00000181544,FANCB
ENSG00000182264,IZUMO1
ENSG00000182389,CACNB4
ENSG00000183117,CSMD1
ENSG00000183166,CALN1
ENSG00000183856,IQGAP3
ENSG00000184517,ZFP1
ENSG00000186094,AGBL4
ENSG00000186638,KIF24
ENSG00000188517,COL25A1
ENSG00000188848,BEND4
ENSG00000196407,THEM5
ENSG00000196932,TMEM26
ENSG00000198010,DLGAP2
ENSG00000198826,ARHGAP11A
ENSG00000203668,CHML
ENSG00000206384,COL6A6
ENSG00000274736,CCL23
ENSG00000276644,DACH1
ENSG00000281398,SNHG4
