Ensembl Gene Id,gene_name
ENSG00000002079,MYH16
ENSG00000003987,MTMR7
ENSG00000006283,CACNA1G
ENSG00000006377,DLX6
ENSG00000006747,SCIN
ENSG00000007372,PAX6
ENSG00000008277,ADAM22
ENSG00000049247,UTS2
ENSG00000053524,MCF2L2
ENSG00000066405,CLDN18
ENSG00000069018,TRPC7
ENSG00000070669,ASNS
ENSG00000077264,PAK3
ENSG00000077279,DCX
ENSG00000077327,SPAG6
ENSG00000077498,TYR
ENSG00000077935,SMC1B
ENSG00000082126,MPP4
ENSG00000082497,SERTAD4
ENSG00000091181,IL5RA
ENSG00000100206,DMC1
ENSG00000100433,KCNK10
ENSG00000100987,VSX1
ENSG00000101144,BMP7
ENSG00000102239,BRS3
ENSG00000102385,DRP2
ENSG00000104112,SCG3
ENSG00000106013,ANKRD7
ENSG00000109061,MYH1
ENSG00000111305,GSG1
ENSG00000112246,SIM1
ENSG00000113205,PCDHB3
ENSG00000117069,ST6GALNAC5
ENSG00000117971,CHRNB4
ENSG00000118432,CNR1
ENSG00000119919,NKX2-3
ENSG00000120068,HOXB8
ENSG00000120251,GRIA2
ENSG00000121743,GJA3
ENSG00000124479,NDP
ENSG00000126733,DACH2
ENSG00000128250,RFPL1
ENSG00000128645,HOXD1
ENSG00000129007,CALML4
ENSG00000129167,TPH1
ENSG00000130294,KIF1A
ENSG00000132681,ATP1A4
ENSG00000132972,RNF17
ENSG00000133962,CATSPERB
ENSG00000136449,MYCBPAP
ENSG00000137203,TFAP2A
ENSG00000137251,TINAG
ENSG00000137473,TTC29
ENSG00000137948,BRDT
ENSG00000138311,ZNF365
ENSG00000138741,TRPC3
ENSG00000139767,SRRM4
ENSG00000139915,MDGA2
ENSG00000143195,ILDR2
ENSG00000144278,GALNT13
ENSG00000144452,ABCA12
ENSG00000145244,CORIN
ENSG00000145248,SLC10A4
ENSG00000146276,GABRR1
ENSG00000146453,PNLDC1
ENSG00000147246,HTR2C
ENSG00000147481,SNTG1
ENSG00000147724,FAM135B
ENSG00000148513,ANKRD30A
ENSG00000149516,MS4A3
ENSG00000151572,ANO4
ENSG00000151917,BEND6
ENSG00000152592,DMP1
ENSG00000152910,CNTNAP4
ENSG00000153157,SYCP2L
ENSG00000154143,PANX3
ENSG00000154975,CA10
ENSG00000155816,FMN2
ENSG00000156414,TDRD9
ENSG00000157542,KCNJ6
ENSG00000157890,MEGF11
ENSG00000158486,DNAH3
ENSG00000158497,HMHB1
ENSG00000159339,PADI4
ENSG00000160117,ANKLE1
ENSG00000160321,ZNF208
ENSG00000162814,SPATA17
ENSG00000162949,CAPN13
ENSG00000163064,EN1
ENSG00000163806,SPDYA
ENSG00000163810,TGM4
ENSG00000164093,PITX2
ENSG00000164256,PRDM9
ENSG00000164270,HTR4
ENSG00000164287,CDC20B
ENSG00000164303,ENPP6
ENSG00000164304,CAGE1
ENSG00000164509,IL31RA
ENSG00000164794,KCNV1
ENSG00000165078,CPA6
ENSG00000165509,MAGEC3
ENSG00000165730,STOX1
ENSG00000166105,GLB1L3
ENSG00000166342,NETO1
ENSG00000166828,SCNN1G
ENSG00000168032,ENTPD3
ENSG00000168356,SCN11A
ENSG00000169297,NR0B1
ENSG00000170382,LRRN2
ENSG00000170788,DYDC1
ENSG00000171004,HS6ST2
ENSG00000171126,KCNG3
ENSG00000171320,ESCO2
ENSG00000171587,DSCAM
ENSG00000173157,ADAMTS20
ENSG00000174448,STARD6
ENSG00000174607,UGT8
ENSG00000176406,RIMS2
ENSG00000176746,MAGEB6
ENSG00000176887,SOX11
ENSG00000177414,UBE2U
ENSG00000178538,CA8
ENSG00000179542,SLITRK4
ENSG00000181355,OFCC1
ENSG00000181433,SAGE1
ENSG00000183185,GABRR3
ENSG00000183454,GRIN2A
ENSG00000183671,GPR1
ENSG00000183690,EFHC2
ENSG00000183831,ANKRD45
ENSG00000184351,KRTAP19-1
ENSG00000184735,DDX53
ENSG00000186431,FCAR
ENSG00000186471,AKAP14
ENSG00000186684,CYP27C1
ENSG00000186867,QRFPR
ENSG00000187323,DCC
ENSG00000188056,TREML4
ENSG00000188580,NKAIN2
ENSG00000188761,BCL2L15
ENSG00000189068,VSTM1
ENSG00000197134,ZNF257
ENSG00000197565,COL4A6
ENSG00000197587,DMBX1
ENSG00000198028,ZNF560
ENSG00000198216,CACNA1E
ENSG00000198354,DCAF12L2
ENSG00000198574,SH2D1B
ENSG00000204659,CBY3
ENSG00000204688,OR2H1
ENSG00000206072,SERPINB11
ENSG00000213973,ZNF99
ENSG00000214711,CAPN14
ENSG00000215853,RPTN
ENSG00000232416,BPESC1
ENSG00000237693,IRGM
ENSG00000244607,CCDC13
ENSG00000263639,MSMB
ENSG00000277586,NEFL
