"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000002079" 1.99561409543545 -0.386883049005239 23.5936910203886 1.18976966946015e-06 8.16134330519142e-06 "MYH16" "transcribed_unitary_pseudogene"
"ENSG00000002726" -2.14535074793262 2.84888793991101 26.2856408603776 2.94469936092328e-07 2.28653543317382e-06 "AOC1" "protein_coding"
"ENSG00000003249" 1.51683882695293 5.8661115774783 39.1191825742534 3.98707250257979e-10 4.97883450003952e-09 "DBNDD1" "protein_coding"
"ENSG00000003987" 1.65822238611761 4.88674900957209 29.2214211233686 6.45614802889008e-08 5.66919761965986e-07 "MTMR7" "protein_coding"
"ENSG00000004838" 1.8018350665561 0.708423344426004 41.608225038763 1.11523093864339e-10 1.5179601913646e-09 "ZMYND10" "protein_coding"
"ENSG00000005073" 6.04476527172515 1.16160981538719 35.0931050138987 3.14311739201609e-09 3.40999116699271e-08 "HOXA11" "protein_coding"
"ENSG00000005102" 1.58771421603448 2.04328239872656 17.0055505079463 3.72707051974164e-05 0.000189676695551859 "MEOX1" "protein_coding"
"ENSG00000006047" 1.98350655527205 3.17552612815954 21.9876478345981 2.74410841328026e-06 1.75996253552097e-05 "YBX2" "protein_coding"
"ENSG00000006071" 2.76091874746122 2.73048677363917 25.9111356320294 3.57500879543551e-07 2.72524977494969e-06 "ABCC8" "protein_coding"
"ENSG00000006118" 2.23509819763243 4.24287494208026 59.097677688071 1.50036211648447e-14 3.623728888257e-13 "TMEM132A" "protein_coding"
"ENSG00000006283" 2.37454074304016 -1.2317648193935 12.6172996124659 0.000382193060073841 0.00153847751982041 "CACNA1G" "protein_coding"
"ENSG00000006377" 6.30495499201166 1.52437166355792 24.3695032504114 7.95175932110098e-07 5.69567512066469e-06 "DLX6" "protein_coding"
"ENSG00000006606" 3.48957405550136 1.9168102267251 40.1407002847303 2.36313794577486e-10 3.04848154120729e-09 "CCL26" "protein_coding"
"ENSG00000006638" -2.00795196659189 3.36225811010788 269.417698837279 1.51991657376416e-60 3.4484057215133e-57 "TBXA2R" "protein_coding"
"ENSG00000006747" 1.93326928238531 3.01918846486685 28.6740437559837 8.56439944345039e-08 7.35327020332764e-07 "SCIN" "protein_coding"
"ENSG00000006788" 4.33030790041687 0.583442502879026 17.3001812141043 3.19156414474605e-05 0.000164733357057339 "MYH13" "protein_coding"
"ENSG00000007314" 2.33688648631306 2.24386530950517 72.7987019550673 1.43571249282349e-17 5.04528549874012e-16 "SCN4A" "protein_coding"
"ENSG00000007372" 5.56495640464959 1.28323978112365 28.2580902123125 1.06169957276897e-07 8.95047751766988e-07 "PAX6" "protein_coding"
"ENSG00000007968" 3.18303169725441 2.65212245352509 145.999783433225 1.29834010729176e-33 2.35655221173991e-31 "E2F2" "protein_coding"
"ENSG00000008118" 1.9325122708016 2.75500719274273 15.870666111455 6.78218262879133e-05 0.000325963208801475 "CAMK1G" "protein_coding"
"ENSG00000008277" 1.7752748517329 4.01032953856603 38.6270546330573 5.13028384922662e-10 6.31303166138222e-09 "ADAM22" "protein_coding"
"ENSG00000008300" 3.67885145611618 3.47973950230785 151.670769228195 7.4779468496937e-35 1.5080941588374e-32 "CELSR3" "protein_coding"
