"","project_id"
"1","Primary solid Tumor"
"2","Solid Tissue Normal"
"3","Primary solid Tumor"
"4","Primary solid Tumor"
"5","Primary solid Tumor"
"6","Primary solid Tumor"
"7","Primary solid Tumor"
"8","Primary solid Tumor"
"9","Primary solid Tumor"
"10","Primary solid Tumor"
"11","Primary solid Tumor"
"12","Primary solid Tumor"
"13","Primary solid Tumor"
"14","Primary solid Tumor"
"15","Primary solid Tumor"
"16","Primary solid Tumor"
"17","Primary solid Tumor"
"18","Primary solid Tumor"
"19","Primary solid Tumor"
"20","Primary solid Tumor"
"21","Primary solid Tumor"
"22","Solid Tissue Normal"
"23","Primary solid Tumor"
"24","Primary solid Tumor"
"25","Primary solid Tumor"
"26","Primary solid Tumor"
"27","Primary solid Tumor"
"28","Primary solid Tumor"
"29","Primary solid Tumor"
"30","Primary solid Tumor"
"31","Primary solid Tumor"
"32","Primary solid Tumor"
"33","Primary solid Tumor"
"34","Primary solid Tumor"
"35","Primary solid Tumor"
"36","Primary solid Tumor"
"37","Primary solid Tumor"
"38","Primary solid Tumor"
"39","Primary solid Tumor"
"40","Primary solid Tumor"
"41","Primary solid Tumor"
"42","Primary solid Tumor"
"43","Solid Tissue Normal"
"44","Primary solid Tumor"
"45","Primary solid Tumor"
"46","Primary solid Tumor"
"47","Solid Tissue Normal"
"48","Primary solid Tumor"
"49","Primary solid Tumor"
"50","Primary solid Tumor"
"51","Solid Tissue Normal"
"52","Primary solid Tumor"
"53","Primary solid Tumor"
"54","Primary solid Tumor"
"55","Primary solid Tumor"
"56","Primary solid Tumor"
"57","Primary solid Tumor"
"58","Primary solid Tumor"
"59","Primary solid Tumor"
"60","Primary solid Tumor"
"61","Primary solid Tumor"
"62","Primary solid Tumor"
"63","Primary solid Tumor"
"64","Primary solid Tumor"
"65","Primary solid Tumor"
"66","Primary solid Tumor"
"67","Primary solid Tumor"
"68","Primary solid Tumor"
"69","Primary solid Tumor"
"70","Primary solid Tumor"
"71","Primary solid Tumor"
"72","Solid Tissue Normal"
"73","Primary solid Tumor"
"74","Solid Tissue Normal"
"75","Primary solid Tumor"
"76","Primary solid Tumor"
"77","Primary solid Tumor"
"78","Primary solid Tumor"
"79","Primary solid Tumor"
"80","Primary solid Tumor"
"81","Primary solid Tumor"
"82","Primary solid Tumor"
"83","Primary solid Tumor"
"84","Primary solid Tumor"
"85","Primary solid Tumor"
"86","Primary solid Tumor"
"87","Primary solid Tumor"
"88","Primary solid Tumor"
"89","Primary solid Tumor"
"90","Primary solid Tumor"
"91","Primary solid Tumor"
"92","Primary solid Tumor"
"93","Primary solid Tumor"
"94","Solid Tissue Normal"
"95","Primary solid Tumor"
"96","Primary solid Tumor"
"97","Primary solid Tumor"
"98","Primary solid Tumor"
"99","Primary solid Tumor"
"100","Primary solid Tumor"
"101","Primary solid Tumor"
"102","Primary solid Tumor"
"103","Primary solid Tumor"
"104","Primary solid Tumor"
"105","Primary solid Tumor"
"106","Solid Tissue Normal"
"107","Primary solid Tumor"
"108","Primary solid Tumor"
"109","Primary solid Tumor"
"110","Solid Tissue Normal"
"111","Primary solid Tumor"
"112","Primary solid Tumor"
"113","Primary solid Tumor"
"114","Primary solid Tumor"
"115","Primary solid Tumor"
"116","Primary solid Tumor"
"117","Primary solid Tumor"
"118","Primary solid Tumor"
"119","Primary solid Tumor"
"120","Primary solid Tumor"
"121","Primary solid Tumor"
"122","Primary solid Tumor"
"123","Primary solid Tumor"
"124","Solid Tissue Normal"
"125","Primary solid Tumor"
"126","Primary solid Tumor"
"127","Primary solid Tumor"
"128","Primary solid Tumor"
"129","Primary solid Tumor"
"130","Solid Tissue Normal"
"131","Primary solid Tumor"
"132","Primary solid Tumor"
"133","Primary solid Tumor"
"134","Solid Tissue Normal"
"135","Primary solid Tumor"
"136","Solid Tissue Normal"
"137","Primary solid Tumor"
"138","Primary solid Tumor"
"139","Solid Tissue Normal"
"140","Primary solid Tumor"
"141","Primary solid Tumor"
"142","Solid Tissue Normal"
"143","Primary solid Tumor"
"144","Primary solid Tumor"
"145","Primary solid Tumor"
"146","Primary solid Tumor"
"147","Primary solid Tumor"
"148","Primary solid Tumor"
"149","Solid Tissue Normal"
"150","Solid Tissue Normal"
"151","Primary solid Tumor"
"152","Primary solid Tumor"
"153","Primary solid Tumor"
"154","Primary solid Tumor"
"155","Primary solid Tumor"
"156","Primary solid Tumor"
"157","Primary solid Tumor"
"158","Primary solid Tumor"
"159","Primary solid Tumor"
"160","Primary solid Tumor"
"161","Primary solid Tumor"
"162","Primary solid Tumor"
"163","Primary solid Tumor"
"164","Primary solid Tumor"
"165","Primary solid Tumor"
"166","Primary solid Tumor"
"167","Primary solid Tumor"
"168","Primary solid Tumor"
"169","Primary solid Tumor"
"170","Primary solid Tumor"
"171","Primary solid Tumor"
"172","Primary solid Tumor"
"173","Primary solid Tumor"
"174","Primary solid Tumor"
"175","Primary solid Tumor"
"176","Primary solid Tumor"
"177","Primary solid Tumor"
"178","Primary solid Tumor"
"179","Solid Tissue Normal"
"180","Primary solid Tumor"
"181","Primary solid Tumor"
"182","Primary solid Tumor"
"183","Primary solid Tumor"
"184","Primary solid Tumor"
"185","Primary solid Tumor"
"186","Primary solid Tumor"
"187","Primary solid Tumor"
"188","Primary solid Tumor"
"189","Primary solid Tumor"
"190","Primary solid Tumor"
"191","Primary solid Tumor"
"192","Primary solid Tumor"
"193","Primary solid Tumor"
"194","Primary solid Tumor"
"195","Solid Tissue Normal"
"196","Primary solid Tumor"
"197","Primary solid Tumor"
"198","Primary solid Tumor"
"199","Primary solid Tumor"
"200","Primary solid Tumor"
"201","Primary solid Tumor"
"202","Primary solid Tumor"
"203","Solid Tissue Normal"
"204","Primary solid Tumor"
"205","Primary solid Tumor"
"206","Primary solid Tumor"
"207","Primary solid Tumor"
"208","Primary solid Tumor"
"209","Primary solid Tumor"
"210","Primary solid Tumor"
"211","Primary solid Tumor"
"212","Primary solid Tumor"
"213","Primary solid Tumor"
"214","Primary solid Tumor"
"215","Primary solid Tumor"
"216","Primary solid Tumor"
"217","Primary solid Tumor"
"218","Primary solid Tumor"
"219","Solid Tissue Normal"
"220","Primary solid Tumor"
"221","Primary solid Tumor"
"222","Primary solid Tumor"
"223","Primary solid Tumor"
"224","Solid Tissue Normal"
"225","Primary solid Tumor"
"226","Primary solid Tumor"
"227","Primary solid Tumor"
"228","Primary solid Tumor"
"229","Primary solid Tumor"
"230","Primary solid Tumor"
"231","Primary solid Tumor"
"232","Primary solid Tumor"
"233","Primary solid Tumor"
"234","Primary solid Tumor"
"235","Solid Tissue Normal"
"236","Primary solid Tumor"
"237","Primary solid Tumor"
"238","Primary solid Tumor"
"239","Primary solid Tumor"
"240","Primary solid Tumor"
"241","Primary solid Tumor"
"242","Primary solid Tumor"
"243","Primary solid Tumor"
"244","Primary solid Tumor"
"245","Primary solid Tumor"
"246","Primary solid Tumor"
"247","Primary solid Tumor"
"248","Primary solid Tumor"
"249","Primary solid Tumor"
"250","Primary solid Tumor"
"251","Solid Tissue Normal"
"252","Primary solid Tumor"
"253","Solid Tissue Normal"
"254","Primary solid Tumor"
"255","Solid Tissue Normal"
"256","Primary solid Tumor"
"257","Primary solid Tumor"
"258","Primary solid Tumor"
"259","Primary solid Tumor"
"260","Primary solid Tumor"
"261","Primary solid Tumor"
"262","Primary solid Tumor"
"263","Solid Tissue Normal"
"264","Primary solid Tumor"
"265","Primary solid Tumor"
"266","Solid Tissue Normal"
"267","Primary solid Tumor"
"268","Solid Tissue Normal"
"269","Primary solid Tumor"
"270","Solid Tissue Normal"
"271","Primary solid Tumor"
"272","Solid Tissue Normal"
"273","Primary solid Tumor"
"274","Primary solid Tumor"
"275","Primary solid Tumor"
"276","Solid Tissue Normal"
"277","Primary solid Tumor"
"278","Primary solid Tumor"
"279","Primary solid Tumor"
"280","Primary solid Tumor"
"281","Solid Tissue Normal"
"282","Primary solid Tumor"
"283","Primary solid Tumor"
"284","Solid Tissue Normal"
"285","Primary solid Tumor"
"286","Primary solid Tumor"
"287","Primary solid Tumor"
"288","Primary solid Tumor"
"289","Primary solid Tumor"
"290","Primary solid Tumor"
"291","Primary solid Tumor"
"292","Primary solid Tumor"
"293","Primary solid Tumor"
"294","Primary solid Tumor"
"295","Primary solid Tumor"
"296","Primary solid Tumor"
"297","Primary solid Tumor"
"298","Primary solid Tumor"
"299","Primary solid Tumor"
"300","Primary solid Tumor"
"301","Solid Tissue Normal"
"302","Primary solid Tumor"
"303","Primary solid Tumor"
"304","Primary solid Tumor"
